machine_age,runtime_hours,utilization,temperature,vibration,previous_failures,maintenance_gap,downtime_history,cycle_count,failure_occurred
4.3,3701.2,74.7,63.9,0.97,4,62.2,8.4,31834,0
6.8,3986.9,87.5,59.7,3.18,1,49.8,3.0,33718,0
7.0,2939.4,97.8,73.8,1.44,1,85.6,3.0,25309,0
2.4,1482.7,65.2,56.0,6.5,0,93.7,0.0,13098,1
8.7,1703.3,46.4,65.3,0.14,1,82.4,3.0,14879,0
8.8,2137.5,78.9,62.0,1.55,3,75.8,5.9,18319,1
5.5,2774.3,97.9,63.3,3.1,3,12.9,4.9,23933,0
6.4,1490.8,65.1,57.7,5.71,0,74.6,0.0,12210,0
3.3,2944.2,82.5,80.1,1.57,1,58.0,1.5,25427,0
7.9,3554.4,68.6,66.9,1.28,1,85.6,3.5,29838,0
9.0,2463.1,86.7,58.2,0.84,2,69.2,6.9,20707,0
3.0,2128.6,63.1,77.2,1.51,0,50.9,0.0,18128,0
2.9,3635.6,54.8,70.2,1.39,1,49.4,2.6,30410,0
3.6,2745.2,94.7,67.2,0.16,1,46.0,3.4,23277,1
6.5,3562.4,72.2,53.2,0.45,1,88.5,2.8,29972,0
3.8,2568.4,68.3,67.8,0.9,1,12.1,1.6,21582,0
3.4,3137.1,83.0,75.5,0.6,2,41.5,3.5,27141,1
3.4,1413.3,49.0,68.3,0.3,0,31.3,0.0,11852,0
6.0,3987.1,57.3,65.5,0.49,4,26.8,14.9,34304,0
6.1,829.1,68.1,51.7,1.8,1,5.1,3.5,7436,0
6.6,2285.4,59.3,76.6,3.36,0,24.8,0.0,19821,0
4.0,1573.9,84.1,76.5,2.43,1,88.3,2.9,13668,1
3.4,3523.4,47.7,35.7,2.5,1,88.4,2.9,29553,0
9.0,943.3,77.4,84.7,0.98,3,84.2,7.8,8449,0
6.4,463.3,84.5,52.7,0.23,0,21.7,0.0,4330,0
6.7,514.4,76.3,51.6,1.18,4,55.6,6.7,4220,0
6.6,2062.3,84.8,56.3,2.39,5,19.8,8.4,17349,0
9.0,1837.8,83.5,65.3,2.13,0,10.3,0.0,15821,0
3.5,3606.2,65.2,73.5,0.1,0,6.9,0.0,30898,0
5.6,1297.5,87.2,81.4,2.88,2,77.8,3.9,10818,1
6.2,2807.7,79.6,56.2,4.36,1,58.0,2.0,23497,0
2.4,1128.3,92.3,63.1,1.36,3,80.0,8.9,9236,0
4.6,2826.5,57.9,84.4,1.07,4,5.3,9.8,24126,0
4.5,674.6,54.0,68.7,3.44,4,43.5,13.0,5770,1
8.6,3410.3,58.8,72.0,0.18,2,80.2,4.9,28551,1
0.9,1754.8,83.1,66.9,0.41,2,59.1,6.4,14882,0
5.8,3915.8,67.6,57.4,0.14,1,15.9,2.7,32787,0
1.4,292.3,88.7,41.9,4.46,0,53.5,0.0,2478,0
2.8,2861.5,51.7,64.8,1.14,1,40.4,2.7,24351,0
6.5,1635.0,66.9,86.0,0.84,2,67.7,7.5,14106,0
5.9,3861.5,53.4,66.1,7.39,1,51.9,3.1,32637,1
8.8,3608.5,60.5,58.9,0.71,1,14.0,3.4,30537,0
8.4,292.8,97.4,66.8,0.89,1,61.0,1.7,2610,0
0.6,2300.3,75.7,83.5,1.0,0,85.4,0.0,19168,0
4.7,429.5,77.2,71.1,0.41,3,48.8,9.0,3398,0
5.8,268.8,77.2,72.5,1.22,0,94.6,0.0,2077,0
3.2,3146.9,94.3,76.4,1.24,2,47.1,6.4,26509,0
8.4,2778.4,88.8,59.7,0.57,2,19.4,5.6,23504,0
8.1,3964.8,75.1,70.0,2.17,0,19.2,0.0,33210,0
3.8,1115.9,48.4,68.9,1.36,1,5.7,3.6,9940,0
6.7,3747.5,56.1,56.7,1.42,3,37.0,7.8,31614,1
1.7,1592.3,71.2,78.6,0.12,3,59.3,8.5,14016,0
5.4,3433.1,53.2,56.4,1.78,2,14.6,3.7,28743,1
4.2,1419.3,82.4,74.2,3.68,2,68.9,4.8,11649,0
3.4,1029.3,91.2,62.2,0.79,2,58.4,7.8,8511,0
8.6,1222.8,85.0,72.0,0.49,2,69.4,7.1,10252,0
1.3,2386.5,96.8,62.5,1.38,1,48.4,2.7,20306,0
5.6,2501.9,51.8,77.7,10.17,3,52.0,6.0,21455,1
1.9,528.0,84.1,72.8,2.14,2,83.2,6.8,4856,1
2.6,542.0,68.4,50.7,3.97,2,35.6,7.5,4533,0
2.5,3805.4,75.5,62.1,1.22,2,32.3,5.2,32018,0
2.1,1517.2,80.2,66.8,1.18,2,68.9,4.2,12810,1
1.7,1415.2,63.1,67.7,6.45,1,34.5,2.3,11855,0
5.0,1664.6,52.9,69.5,0.04,0,14.7,0.0,13761,0
3.8,478.8,88.1,50.2,4.05,0,23.2,0.0,4279,0
1.0,3460.7,61.6,69.4,0.39,2,73.9,5.9,29341,0
8.7,1071.0,52.6,67.6,1.04,4,31.4,12.4,9019,0
4.1,781.4,69.9,71.3,2.11,2,42.3,6.9,6554,0
4.8,1116.6,87.2,65.5,0.42,0,50.3,0.0,9698,0
6.7,1756.3,78.5,56.5,1.55,3,86.5,4.9,14737,0
5.8,698.7,91.8,69.8,1.1,4,57.9,9.3,5900,1
3.5,2844.1,95.5,75.3,5.94,2,67.6,3.4,23959,1
3.1,389.4,89.1,61.0,0.14,1,74.7,2.3,3614,0
4.7,2814.5,79.6,63.2,1.65,1,49.4,3.7,23501,1
2.5,2605.5,58.8,63.2,1.71,1,60.2,3.9,22321,0
3.6,1234.6,69.1,51.4,2.96,3,9.1,5.6,10378,0
7.9,288.0,61.7,71.3,6.46,1,22.4,2.1,2656,1
0.9,2510.9,79.0,67.6,1.97,2,14.5,7.0,21796,1
3.8,2052.6,52.8,61.0,2.75,2,24.9,3.2,17187,0
7.6,1592.3,85.0,71.9,1.04,2,82.6,6.1,13851,0
4.1,1066.7,48.7,67.6,2.41,2,30.3,3.1,8684,0
7.6,1321.8,60.1,65.2,2.83,3,52.3,6.3,11543,0
7.6,1650.1,88.7,58.1,1.72,0,90.3,0.0,14033,0
7.9,2184.6,94.1,45.8,0.12,0,58.7,0.0,18533,0
3.9,3326.1,76.5,55.6,0.74,1,25.7,3.8,28411,0
2.4,3477.9,92.4,56.0,0.53,3,51.7,11.3,29388,1
6.5,2249.5,90.3,74.7,0.07,2,24.4,5.7,19454,0
2.6,1260.0,95.3,52.0,0.8,0,75.4,0.0,10338,0
5.7,2103.0,65.3,62.5,0.61,0,73.3,0.0,17984,0
6.0,3108.7,64.0,68.9,2.91,2,54.6,7.8,26905,1
4.3,439.3,91.3,45.3,0.22,2,36.5,4.4,3835,0
7.8,1949.4,88.8,76.8,0.99,2,34.1,7.9,16204,0
8.5,2144.8,45.1,56.4,0.97,2,55.1,5.9,18587,0
7.5,2350.5,60.9,62.2,0.63,2,87.8,5.9,20399,1
3.4,286.7,59.4,55.1,0.97,3,90.0,9.8,2358,0
8.3,2390.3,82.4,63.3,0.97,1,59.7,2.8,20441,0
7.2,3803.0,92.2,56.1,2.97,3,51.3,4.8,31895,1
8.3,1751.9,69.8,48.1,3.36,2,80.1,3.8,14444,1
2.8,1272.8,80.5,71.8,0.17,0,50.8,0.0,11178,0
6.0,2768.1,78.1,54.2,1.76,0,53.9,0.0,23471,0
1.6,1566.1,48.4,69.9,1.19,0,39.6,0.0,13011,0
4.2,3265.2,76.1,62.0,1.68,0,36.0,0.0,27342,0
4.6,3381.2,61.9,77.1,2.77,2,11.2,6.0,28962,0
3.9,296.1,77.0,57.3,0.62,1,10.8,2.7,2443,0
6.0,903.8,55.9,57.8,1.93,3,33.1,11.3,8151,0
3.0,3126.5,52.0,59.4,2.61,1,92.9,4.0,27011,0
2.6,2411.6,67.3,61.5,1.96,0,35.0,0.0,20748,0
1.0,3866.0,46.2,51.3,1.6,2,86.6,7.6,32922,0
0.9,2335.4,66.7,60.1,2.07,0,17.0,0.0,19396,0
7.2,2519.6,75.5,79.0,2.05,1,33.3,3.3,21077,1
5.6,3781.0,77.3,71.7,1.24,2,35.3,4.1,32091,0
3.4,1623.0,90.6,75.9,1.3,3,12.7,5.8,13699,0
8.7,3888.5,90.1,65.7,2.1,2,18.2,7.1,33197,0
4.8,3639.5,78.5,64.7,0.91,0,31.4,0.0,30873,0
4.7,3559.6,77.0,56.1,0.05,8,40.2,31.4,30107,0
1.3,1469.9,63.6,80.6,0.1,0,22.4,0.0,12057,0
0.6,2843.4,77.9,52.2,0.42,2,48.8,4.2,23836,0
5.1,1021.5,61.4,79.8,6.12,3,38.9,5.1,8583,1
2.9,3422.2,53.0,56.0,0.93,0,29.5,0.0,29066,0
2.8,2187.6,72.0,61.8,0.68,2,90.3,7.2,19076,0
3.7,1267.3,80.2,65.4,3.84,1,86.6,3.4,11253,0
4.3,2218.1,92.7,66.4,1.44,1,51.5,1.7,19097,0
3.9,3257.6,69.8,60.5,5.69,0,8.4,0.0,27941,1
8.9,2108.7,95.4,74.7,1.27,1,35.1,2.8,17876,1
2.7,1009.9,91.0,79.2,5.66,2,21.8,5.0,8554,0
5.3,1310.3,84.4,70.3,1.27,0,56.9,0.0,11480,0
3.7,530.5,69.9,57.8,0.48,3,18.0,5.3,4625,0
7.7,3973.3,64.4,78.0,1.09,3,20.2,10.2,33961,1
4.8,3167.1,56.6,70.3,0.68,3,66.7,9.0,26945,0
0.5,1272.0,73.5,78.0,0.35,4,55.3,6.0,10677,1
6.4,2020.3,61.0,50.4,4.66,0,82.9,0.0,17291,0
8.7,1271.0,76.2,63.4,9.04,4,41.5,9.3,10647,1
5.5,344.8,91.5,59.4,1.37,1,60.0,1.6,3399,0
3.7,2158.6,69.7,71.3,3.85,1,45.2,2.6,18807,1
1.3,3546.4,92.5,65.3,1.94,1,58.6,1.5,29968,0
3.1,3771.3,58.3,75.9,0.68,3,8.6,11.4,31752,0
3.9,3364.5,80.6,56.9,3.03,0,25.0,0.0,28928,0
5.2,2902.7,90.6,56.9,4.94,2,15.1,6.5,25165,0
0.6,2085.8,77.6,76.2,1.47,1,67.7,2.1,17551,0
8.0,1739.6,47.0,74.6,0.09,1,57.6,3.1,15003,1
1.4,1566.0,53.2,67.1,3.04,4,94.4,7.8,13025,1
8.8,3955.5,87.1,58.7,1.79,4,35.0,14.5,33271,0
4.8,3720.4,62.9,63.6,1.77,3,86.9,6.7,31494,1
8.1,1287.2,58.7,83.2,4.55,1,74.2,3.8,10519,0
5.2,2743.0,71.1,53.2,3.12,1,43.6,3.4,23296,0
1.1,928.1,74.2,63.5,5.29,0,8.9,0.0,8029,0
7.5,473.3,55.4,74.3,2.08,0,89.9,0.0,4236,0
2.4,3415.7,88.4,50.4,0.91,1,67.1,2.3,29377,0
0.6,1220.3,55.1,50.5,2.59,1,57.1,4.0,10872,0
7.0,1668.5,84.9,65.4,5.65,0,53.4,0.0,14240,0
5.4,2293.7,95.9,76.8,0.69,1,30.1,2.4,19594,0
5.9,1536.9,61.7,66.8,1.7,0,27.8,0.0,12636,0
0.7,1132.6,79.7,64.0,4.4,3,11.5,12.0,9996,0
6.2,2750.7,55.3,58.1,0.4,2,75.4,3.3,23358,0
6.3,422.2,67.2,58.1,0.26,2,53.2,7.6,3104,0
1.1,224.5,53.0,66.3,0.99,2,42.0,4.2,1922,0
7.6,3416.8,62.9,58.8,2.41,1,44.6,3.1,29244,1
8.8,2538.0,53.7,71.3,0.04,1,17.7,2.9,21676,0
3.8,3140.8,96.6,74.3,4.75,2,53.2,5.8,26897,0
0.8,447.9,49.1,54.5,2.45,0,61.0,0.0,3764,0
7.9,2427.4,95.1,54.9,0.34,2,68.3,5.1,20439,0
7.6,442.6,60.4,67.0,0.66,0,50.7,0.0,3563,0
3.1,1569.7,70.1,78.3,0.38,3,6.9,9.0,13705,0
2.3,544.0,82.1,67.7,2.3,0,7.5,0.0,4706,0
7.4,2520.0,50.9,75.5,3.43,1,90.8,2.6,21050,1
6.0,1863.3,50.0,56.7,2.43,2,67.1,3.1,15643,0
7.6,1683.5,45.6,64.8,5.36,1,21.7,1.9,14598,1
1.6,2244.2,58.1,42.9,0.17,1,51.0,3.9,18700,0
8.4,3532.1,65.9,59.6,2.24,3,62.0,8.9,30174,1
5.2,2460.8,56.0,67.6,0.42,1,59.6,3.6,20712,0
6.8,1701.0,50.0,54.0,0.38,1,34.7,2.5,14392,0
4.8,3295.1,88.4,52.8,2.88,0,77.0,0.0,27633,0
7.5,2299.2,91.4,79.0,0.48,0,73.4,0.0,19177,0
3.5,3867.9,82.0,71.2,1.36,4,25.7,8.3,33039,0
6.1,2807.1,46.2,65.5,0.38,2,32.2,6.2,24189,0
7.6,2318.5,55.3,58.3,2.06,1,28.0,1.9,19943,0
1.0,3524.8,74.6,53.0,0.62,1,54.3,3.4,30135,0
5.0,3392.5,48.6,52.1,0.15,2,72.1,6.2,29259,0
6.9,517.8,75.0,43.5,3.35,0,51.8,0.0,4645,0
7.6,3384.8,89.1,75.0,0.3,1,81.3,3.3,28801,0
1.3,2208.9,60.4,67.2,0.77,2,71.3,3.1,18636,1
9.0,664.3,73.8,66.2,2.81,0,48.7,0.0,5307,0
3.0,1001.9,74.6,72.6,3.82,1,34.3,2.2,8560,0
3.1,922.4,70.2,63.4,0.13,2,32.0,7.5,7430,0
3.7,3546.4,83.6,68.5,1.96,4,28.5,15.1,29662,1
6.7,1823.2,46.3,55.7,0.12,3,33.6,6.4,15018,0
4.3,952.2,49.6,70.6,4.97,1,71.7,1.8,8263,0
6.7,3817.2,84.1,68.1,2.13,2,86.4,4.6,32076,0
0.5,3361.9,58.9,68.5,1.97,1,79.7,1.9,28448,0
4.6,954.9,52.5,72.0,0.24,1,92.9,2.0,7727,0
1.2,2489.3,90.1,53.9,0.35,1,83.0,2.9,20698,0
7.4,2959.6,70.9,61.6,3.54,0,86.9,0.0,25364,0
5.1,2765.6,74.7,74.2,0.54,1,16.1,2.3,23859,0
6.9,865.8,67.5,45.7,0.22,0,60.6,0.0,7072,0
7.8,862.0,46.0,60.4,7.04,2,56.6,3.5,7756,0
2.1,2337.8,52.1,66.6,0.03,3,59.3,4.9,19980,0
6.1,3602.8,90.1,69.0,0.14,0,80.4,0.0,30938,0
3.9,2860.7,93.5,71.5,0.17,2,37.0,3.2,23831,0
1.3,937.2,89.9,84.3,0.37,5,71.1,8.8,7737,1
0.6,801.6,91.7,75.3,0.49,2,49.7,4.1,7297,0
0.7,3801.5,83.2,67.4,1.87,0,73.3,0.0,32302,1
8.7,3055.9,53.4,59.1,0.75,0,74.0,0.0,26315,0
6.3,1009.3,64.1,89.3,1.99,1,85.2,1.7,8545,0
1.0,2880.3,88.4,59.7,1.95,0,21.2,0.0,24216,0
6.0,1328.5,94.3,56.2,0.86,0,92.4,0.0,11688,0
7.8,404.8,97.1,74.9,4.38,2,86.1,4.5,3406,0
7.1,1695.2,89.8,58.3,1.22,2,34.8,3.9,14677,0
4.8,2649.8,93.2,55.9,2.21,0,80.5,0.0,22496,0
5.2,1946.5,62.6,53.2,0.2,0,31.3,0.0,16597,0
8.9,1308.6,68.4,71.9,0.2,1,55.4,3.4,10819,0
0.6,3390.2,86.3,63.2,5.59,1,37.0,3.0,29294,0
7.1,1736.4,71.2,59.3,0.79,3,51.8,11.9,14782,0
0.7,1547.9,93.7,69.2,1.61,2,65.2,3.6,12922,0
8.2,2248.2,46.7,81.8,4.71,2,43.7,5.3,19496,1
1.4,210.4,61.6,61.0,0.02,1,7.8,3.0,1856,0
5.6,3994.9,95.1,59.9,0.0,2,31.6,4.6,33979,0
6.9,1134.4,62.1,54.9,14.36,3,40.1,8.2,9559,1
4.5,1323.3,86.1,50.9,3.47,2,52.7,3.2,10777,0
3.1,3021.6,92.5,69.3,1.3,0,63.6,0.0,25699,0
4.9,3964.0,72.0,58.1,0.22,1,58.7,3.2,33662,1
4.5,509.5,81.2,66.1,1.51,2,44.3,6.3,4531,0
2.0,3815.9,48.1,53.2,7.42,3,8.7,5.3,32022,1
2.3,3468.8,68.6,75.3,0.69,1,76.7,3.0,29238,0
1.0,2856.9,68.3,78.2,2.37,3,77.6,8.0,23858,0
3.0,385.8,92.8,46.9,2.27,1,66.9,3.4,2989,0
1.3,3037.6,89.9,63.6,0.21,2,67.1,3.0,26251,0
5.8,2725.7,74.8,68.2,4.29,1,87.2,3.2,23367,0
1.1,1828.7,57.7,75.3,1.79,5,26.8,15.1,16013,0
6.0,3570.6,55.6,62.3,0.98,2,87.9,7.6,30241,0
6.5,2719.4,65.3,61.8,0.96,1,46.2,3.2,23356,0
3.7,3105.6,45.3,79.5,1.79,3,77.0,11.9,26603,1
0.8,1623.0,75.0,63.9,2.87,2,72.0,5.1,13781,0
3.0,567.9,72.6,79.3,6.21,0,58.3,0.0,5312,0
6.6,2182.8,53.6,66.4,0.87,3,43.6,10.0,18197,0
1.9,3585.3,49.0,58.8,1.14,2,30.6,7.6,30402,0
4.4,1638.1,56.8,72.0,2.09,1,76.0,3.6,14344,1
3.1,3469.3,55.5,56.4,1.06,3,52.5,6.9,29233,0
4.3,3660.0,71.1,47.5,1.29,2,29.2,7.3,31206,0
5.7,2931.6,61.6,68.9,0.15,1,52.0,3.1,24589,0
8.4,1881.1,87.5,58.5,4.72,4,80.3,6.2,16443,0
7.0,509.8,57.3,65.0,0.91,1,42.5,2.4,4183,0
2.3,857.1,78.9,70.6,4.53,1,19.3,3.6,7756,0
3.0,2485.7,86.1,86.5,2.27,1,94.8,2.5,21351,1
4.6,2852.7,66.0,57.6,0.24,2,89.2,4.1,24157,0
5.1,1369.0,70.9,71.2,0.75,0,82.9,0.0,12067,0
3.4,3018.7,91.5,77.2,0.83,1,88.0,3.2,25406,1
2.5,1201.5,57.2,57.0,0.88,1,10.9,1.7,9839,0
6.1,445.2,65.7,68.3,0.59,2,33.3,3.7,4026,0
8.5,422.8,84.2,73.5,0.1,1,74.2,3.7,3458,0
1.5,1784.2,64.1,56.3,0.36,1,62.2,3.7,15578,0
2.0,3306.2,59.7,67.2,2.77,0,57.4,0.0,28464,1
8.5,364.7,77.6,69.4,2.13,0,9.3,0.0,2984,0
7.0,3426.8,76.1,69.6,1.89,2,89.6,5.7,29243,0
8.4,2374.0,60.8,83.2,10.53,2,42.4,7.4,20161,1
7.6,3332.5,83.3,61.7,0.22,2,15.4,3.8,28576,0
2.2,3418.3,59.9,75.3,2.83,2,36.2,7.2,28590,0
6.0,1843.4,78.3,65.4,7.57,1,44.1,3.1,15374,1
8.8,942.1,78.7,54.4,1.54,2,6.5,7.5,8334,0
4.0,3128.1,96.9,62.0,0.9,2,7.1,3.7,26528,0
7.0,605.4,93.6,74.1,4.06,2,44.4,3.7,5633,0
5.5,3161.7,93.8,72.8,1.13,1,84.6,2.9,26414,0
4.7,3500.6,90.4,76.4,3.04,0,27.2,0.0,30154,0
4.2,865.5,96.3,58.9,1.95,2,5.5,5.5,7345,0
4.7,1764.3,92.2,59.4,0.02,2,9.2,5.7,14731,0
2.6,2670.7,74.3,65.5,2.82,0,85.1,0.0,23151,1
8.9,2648.2,75.1,56.8,1.3,0,89.6,0.0,22101,1
0.9,2515.7,77.5,45.5,1.37,1,30.4,1.6,21783,0
9.0,1348.3,91.6,65.0,1.66,1,71.5,3.8,11195,0
6.4,3912.5,84.7,58.9,0.87,3,89.4,9.4,33726,0
7.5,3289.8,62.9,48.5,5.98,0,74.2,0.0,27802,0
5.3,3093.7,90.9,77.2,0.67,1,66.0,2.0,26477,0
7.3,340.0,80.4,69.0,1.89,5,83.3,16.8,2814,0
7.9,3907.5,95.5,57.0,0.21,1,37.5,3.1,33379,0
2.1,1358.3,68.8,47.1,0.82,4,75.7,8.2,11817,0
1.4,1238.4,66.3,63.2,1.94,3,57.8,11.6,10637,0
6.8,1466.2,82.1,66.1,4.46,0,83.3,0.0,12418,0
7.5,3589.3,94.8,84.9,0.89,1,71.9,2.8,30823,0
0.7,2594.9,68.1,58.3,1.1,4,72.9,6.4,21583,1
4.2,1094.7,97.2,85.2,0.59,1,67.9,2.7,9322,0
7.0,543.4,86.2,70.3,1.49,1,41.8,2.1,5098,0
9.0,2061.2,56.6,59.3,4.23,3,94.7,6.6,17799,1
8.8,3345.7,97.9,65.1,1.6,0,50.3,0.0,28712,1
4.8,1093.9,91.4,69.4,0.56,2,13.6,3.3,9302,0
3.3,2823.0,48.2,55.8,3.51,4,72.1,7.3,23809,1
4.4,2297.6,56.2,71.7,1.03,0,47.5,0.0,19884,0
1.2,994.8,61.5,53.6,0.22,3,66.5,10.9,8171,0
8.0,851.7,63.4,70.0,0.93,1,30.1,3.2,7518,0
1.8,3326.9,58.5,47.9,1.0,2,19.4,5.4,28540,0
7.2,3532.6,84.6,63.4,4.58,0,69.4,0.0,30524,0
3.8,2317.5,64.4,71.8,0.39,1,54.4,3.8,20111,1
1.2,1131.5,58.5,62.8,1.59,2,68.6,7.1,9463,1
3.0,722.0,69.8,57.0,0.31,1,71.5,1.6,6191,0
0.5,3503.0,80.6,67.9,1.7,1,84.8,2.1,29673,1
7.1,3682.6,90.0,58.0,2.88,4,62.1,13.4,31719,0
7.7,3794.0,73.5,42.6,1.08,2,82.1,7.5,32248,0
7.0,2890.3,62.4,80.4,0.19,1,31.5,2.2,24705,0
6.3,3721.3,86.6,59.0,0.71,3,76.3,6.6,31140,0
4.9,2803.8,93.5,80.9,1.4,1,32.5,3.5,23781,1
1.3,1997.1,69.6,61.0,0.28,2,67.1,6.0,17223,0
8.5,2559.7,89.9,86.2,0.51,3,64.2,5.2,21992,1
2.1,2723.7,50.2,76.4,3.93,1,22.5,2.5,23210,0
0.8,1303.9,77.3,69.5,0.8,2,18.1,6.1,11033,0
3.3,1351.6,50.7,80.6,1.54,1,44.2,3.0,11664,0
6.7,2675.4,50.0,67.8,2.14,4,83.1,16.0,23020,0
1.2,2961.6,82.6,60.7,1.91,2,66.6,4.5,24682,0
1.5,2705.3,94.1,68.2,6.27,1,36.8,3.8,23282,1
4.0,1481.8,86.6,82.0,1.66,5,11.1,11.3,12415,0
1.9,2085.6,80.2,56.8,1.24,1,83.8,3.8,17845,0
1.6,3230.3,51.3,48.0,1.59,1,38.1,3.7,27591,0
3.4,3420.2,65.5,56.1,1.38,2,47.8,4.1,28855,1
3.1,1418.7,96.0,78.6,0.08,0,78.3,0.0,11749,0
5.1,3405.7,48.2,69.2,1.63,3,68.9,10.2,29178,0
8.2,574.0,50.6,58.5,0.11,2,65.5,3.0,4489,0
1.2,3414.4,90.8,72.8,2.54,1,21.6,2.2,29038,0
1.3,1327.4,94.1,71.8,8.56,1,76.2,1.9,11035,1
4.2,965.8,79.5,63.9,2.38,0,29.9,0.0,8089,0
6.6,2717.6,45.3,61.1,0.57,0,41.9,0.0,23349,0
5.4,540.9,92.2,60.0,6.07,0,68.4,0.0,4637,0
4.6,2146.6,66.2,66.1,0.5,2,37.3,7.5,18313,0
1.5,2169.3,74.0,66.9,0.73,1,18.1,2.9,18000,0
1.7,2760.9,65.7,79.1,1.25,2,73.5,6.0,23583,0
8.6,1631.5,75.6,59.7,0.16,1,80.2,2.8,14098,1
4.4,3625.0,56.9,64.3,2.19,1,65.3,2.1,31064,1
3.9,2692.8,88.9,60.4,2.82,2,24.5,7.3,23246,0
1.1,2239.9,79.4,74.3,2.65,1,23.4,1.5,18889,1
3.2,2587.2,92.4,78.5,3.29,1,22.4,3.9,22040,1
7.6,1701.7,92.7,58.5,1.27,3,41.3,11.8,14572,0
4.3,2221.6,67.7,50.3,2.18,2,35.6,3.9,19323,0
7.3,2918.3,86.9,66.7,4.11,0,61.4,0.0,24577,0
7.1,3358.5,61.6,71.0,2.06,2,58.8,5.1,28209,1
1.2,2548.7,90.0,81.8,0.31,1,40.9,2.1,21516,0
5.7,508.5,78.8,62.0,1.17,2,70.8,4.1,4725,0
6.3,754.3,58.7,47.7,1.25,2,5.4,6.2,6333,0
1.3,1037.4,56.9,73.2,4.93,1,17.5,1.7,8906,1
4.7,1606.2,87.6,60.5,2.3,3,50.4,11.8,13814,0
2.0,2036.3,93.2,45.5,0.7,1,86.2,2.6,16882,0
2.6,284.6,52.2,64.0,0.36,1,26.6,2.0,2471,0
4.8,421.3,74.9,55.1,2.87,0,11.5,0.0,3827,0
5.1,1148.0,62.6,66.8,0.24,2,82.7,4.3,9829,0
8.3,2046.1,78.9,73.8,0.01,1,13.4,2.2,17213,0
6.2,1818.8,97.4,64.2,1.87,0,69.5,0.0,15100,0
8.4,2796.3,79.7,53.0,1.46,1,41.9,1.9,23958,0
2.1,3307.3,80.0,53.5,0.91,5,78.9,14.3,28123,1
5.4,3622.2,86.3,83.4,2.78,0,37.3,0.0,30604,0
3.6,2330.7,68.2,59.7,4.0,0,5.1,0.0,20307,0
0.6,1061.4,96.5,62.2,2.98,1,6.3,1.6,9134,1
8.9,896.9,82.7,66.4,0.15,2,81.4,5.7,8044,0
8.3,495.6,51.4,53.0,7.92,1,74.3,2.2,4439,0
7.2,1241.4,66.3,62.4,0.33,2,78.8,5.6,10282,0
