machine_id_enc,process_seq,product_type_enc,material_type_enc,quantity,operator_experience,shift_num,historical_machine_utilization,historical_cycle_time,setup_time,previous_downtime,worker_skill,machine_age,batch_size,actual_processing_time
9,4,4,4,50,10.5,3,67.6,75.0,15.0,1.5,3,6.7,50,83.3
1,4,5,3,150,4.6,1,91.4,65.0,10.0,3.2,3,2.4,150,133.8
1,2,9,3,150,1.3,2,60.6,60.0,10.0,1.5,3,5.2,150,128.1
6,5,8,4,150,4.2,3,63.8,45.0,25.0,0.1,3,1.8,150,92.5
6,2,5,4,25,9.0,2,72.0,45.0,20.0,1.1,1,5.0,25,42.4
2,4,8,2,50,7.4,3,49.5,75.0,15.0,0.1,3,5.7,50,75.5
3,4,3,2,150,0.7,3,60.5,55.0,15.0,0.9,3,4.9,150,105.9
2,5,4,1,75,1.7,2,73.7,55.0,15.0,4.2,1,6.3,75,76.0
4,2,9,5,100,7.7,1,72.1,45.0,10.0,0.9,5,3.5,100,70.2
6,1,10,2,75,5.5,3,89.0,65.0,20.0,2.5,4,6.6,75,83.8
11,1,10,3,100,7.6,1,76.9,50.0,25.0,0.3,3,6.6,100,79.7
14,5,2,3,150,5.4,2,73.4,55.0,25.0,0.1,5,6.8,150,102.2
6,3,4,3,150,9.5,3,73.9,45.0,20.0,2.0,3,1.0,150,83.0
6,3,9,1,100,4.7,2,87.3,50.0,25.0,2.3,3,7.1,100,72.3
11,4,6,2,100,6.7,3,91.5,60.0,15.0,2.6,2,3.8,100,92.7
6,4,1,3,50,5.2,2,48.8,65.0,10.0,2.3,5,6.1,50,66.0
3,5,4,3,75,9.8,1,57.0,60.0,20.0,1.1,3,3.2,75,78.5
9,5,7,5,100,7.8,1,67.8,75.0,25.0,3.1,2,3.4,100,137.6
3,5,3,1,150,8.3,1,59.0,55.0,15.0,0.9,3,1.7,150,84.6
14,4,7,5,25,9.0,1,79.5,70.0,25.0,1.1,2,1.1,25,59.0
1,3,10,3,50,4.6,3,52.2,45.0,15.0,1.4,2,0.9,50,46.9
15,4,8,3,150,5.3,1,63.6,55.0,20.0,1.8,4,1.8,150,100.4
2,2,3,5,25,7.8,3,46.3,45.0,10.0,0.2,3,1.6,25,33.6
5,2,1,3,50,6.3,1,82.7,70.0,10.0,2.9,3,3.6,50,77.4
13,5,10,4,25,8.9,1,69.5,45.0,10.0,2.6,4,4.1,25,35.2
14,5,3,3,50,5.2,3,65.6,65.0,15.0,0.7,4,7.3,50,69.0
2,4,9,4,100,6.8,1,44.1,50.0,10.0,2.4,3,8.0,100,83.5
3,3,6,3,100,5.8,3,76.1,55.0,25.0,0.0,2,5.5,100,95.0
1,1,2,5,25,7.2,1,72.1,65.0,25.0,2.1,4,4.4,25,52.8
12,5,7,4,25,4.5,2,81.2,45.0,25.0,2.1,3,5.4,25,35.1
4,2,5,5,50,4.0,1,79.4,70.0,25.0,0.3,3,2.3,50,87.0
12,2,1,2,50,2.0,3,85.2,50.0,15.0,2.4,2,5.7,50,53.9
15,3,6,3,150,4.2,1,85.4,65.0,15.0,0.5,3,6.7,150,138.2
7,4,10,5,100,4.7,1,65.5,70.0,15.0,0.8,4,6.7,100,131.0
12,2,6,1,75,6.4,3,89.6,65.0,15.0,0.1,4,6.6,75,81.4
13,5,1,3,100,10.8,1,83.1,55.0,15.0,0.6,3,2.2,100,77.0
6,2,1,4,75,0.6,3,74.4,65.0,10.0,1.3,3,7.9,75,105.7
10,5,9,4,75,10.5,3,91.1,75.0,25.0,1.1,2,8.0,75,119.9
12,2,4,1,50,8.7,1,67.7,55.0,10.0,1.7,3,3.3,50,53.2
15,1,9,2,75,9.1,3,73.0,75.0,25.0,1.8,3,5.5,75,91.4
13,2,4,2,25,7.5,3,64.9,70.0,25.0,4.9,3,4.2,25,44.2
5,1,6,2,100,1.4,3,72.6,55.0,15.0,1.8,1,2.2,100,91.9
1,4,4,3,150,11.7,3,80.6,75.0,10.0,8.8,1,7.2,150,157.5
8,5,4,4,150,11.7,1,76.8,50.0,15.0,0.5,3,6.4,150,100.6
7,4,10,2,75,5.9,2,91.8,60.0,20.0,0.2,5,6.2,75,72.3
8,3,8,5,100,10.0,1,59.5,65.0,25.0,5.6,2,7.2,100,122.9
2,2,7,3,100,7.6,2,47.5,70.0,15.0,1.1,2,5.2,100,115.2
1,1,7,2,25,8.7,1,63.0,45.0,15.0,1.9,3,5.5,25,25.7
8,1,10,5,25,9.3,2,50.7,50.0,10.0,2.0,3,4.1,25,39.4
3,2,7,4,75,9.3,2,89.7,65.0,10.0,2.6,3,6.0,75,97.4
12,2,6,4,100,6.9,1,80.8,55.0,15.0,0.2,4,1.7,100,85.3
6,2,6,5,25,9.5,3,91.6,55.0,25.0,1.2,4,6.5,25,47.9
14,4,9,1,150,10.6,3,72.4,60.0,10.0,1.5,3,0.9,150,87.3
4,1,1,5,25,3.9,2,92.2,75.0,15.0,1.4,5,6.4,25,62.0
13,5,1,4,25,8.6,3,66.8,50.0,20.0,1.4,5,6.3,25,38.3
13,3,5,5,25,6.4,3,90.1,50.0,25.0,1.0,1,0.8,25,45.2
1,1,4,1,25,9.7,3,64.7,45.0,25.0,0.1,4,1.3,25,20.7
